NM_001005484.1	NP_001005484.1
XM_017003009.1	XP_016858498.1
XM_011543806.2	XP_011542108.1
XM_011543807.2	XP_011542109.1
XM_011543808.2	XP_011542110.1
XM_017003010.1	XP_016858499.1
NM_001005221.2	NP_001005221.2
XM_011542538.1	XP_011540840.1
XM_017002408.1	XP_016857897.1
XM_017002409.1	XP_016857898.1
XM_017002410.1	XP_016857899.1
XM_017002411.1	XP_016857900.1
NM_001005277.1	NP_001005277.1
XM_017003008.1	XP_016858497.1
XM_017003065.1	XP_016858554.1
NM_152486.2	NP_689699.2
NM_015658.3	NP_056473.2
XM_006710600.3	XP_006710663.1
NM_198317.2	NP_938073.1
XM_006710601.3	XP_006710664.1
XM_011542248.2	XP_011540550.2
XM_017002475.1	XP_016857964.1
XM_017002474.1	XP_016857963.1
XM_017002476.1	XP_016857965.1
XM_006710944.3	XP_006711007.2
XM_017002477.1	XP_016857966.1
XM_017002478.1	XP_016857967.1
XM_017002479.1	XP_016857968.1
NM_001160184.1	NP_001153656.1
NM_032129.2	NP_115505.2
NM_001291367.1	NP_001278296.1
XM_017002585.1	XP_016858074.1
XM_017002583.1	XP_016858072.1
XM_017002584.1	XP_016858073.1
NM_001291366.1	NP_001278295.1
XM_005244771.4	XP_005244828.1
NM_021170.3	NP_066993.1
NM_001142467.1	NP_001135939.1
NM_005101.3	NP_005092.1
XM_011541429.2	XP_011539731.1
NM_001305275.1	NP_001292204.1
XM_005244749.3	XP_005244806.1
NM_198576.3	NP_940978.2
XM_017001287.1	XP_016856776.1
XM_017001286.1	XP_016856775.1
NM_001205252.1	NP_001192181.1
XM_017001580.1	XP_016857069.1
XM_017001572.1	XP_016857061.1
XM_017001573.1	XP_016857062.1
XM_017001574.1	XP_016857063.1
XM_017001575.1	XP_016857064.1
XM_011541651.2	XP_011539953.1
XM_011541652.2	XP_011539954.1
XM_011541653.2	XP_011539955.1
XM_011541655.2	XP_011539957.1
XM_011541656.2	XP_011539958.1
XM_011541658.2	XP_011539960.1
XM_011541659.2	XP_011539961.1
XM_011541660.2	XP_011539962.1
NM_017891.4	NP_060361.4
XM_017001577.1	XP_016857066.1
XM_017001578.1	XP_016857067.1
XM_005244765.2	XP_005244822.1
XM_006710717.2	XP_006710780.1
XM_006710718.2	XP_006710781.1
XM_011541665.2	XP_011539967.1
XM_017001576.1	XP_016857065.1
XM_011541661.2	XP_011539963.1
XM_011541662.2	XP_011539964.1
XM_011541663.2	XP_011539965.1
XM_017001579.1	XP_016857068.1
XM_017000912.1	XP_016856401.1
NM_001130045.1	NP_001123517.1
XM_011541177.2	XP_011539479.1
XM_017000906.1	XP_016856395.1
XM_017000909.1	XP_016856398.1
XM_017000911.1	XP_016856400.1
XM_017000908.1	XP_016856397.1
XM_017000910.1	XP_016856399.1
XM_017000907.1	XP_016856396.1
XM_005244738.1	XP_005244795.1
NM_153254.2	NP_694986.2
NM_148901.1	NP_683699.1
XM_017002722.1	XP_016858211.1
NM_148902.1	NP_683700.1
NM_004195.2	NP_004186.1
XM_017002232.1	XP_016857721.1
NM_003327.3	NP_003318.1
XM_017002231.1	XP_016857720.1
XM_011542075.2	XP_011540377.1
XM_011542076.2	XP_011540378.1
XM_011542074.2	XP_011540376.1
XM_011542077.2	XP_011540379.1
NM_016176.3	NP_057260.2
NM_016547.2	NP_057631.1
XM_011541556.1	XP_011539858.1
NM_080605.3	NP_542172.2
XM_011541436.2	XP_011539738.1
XM_011541435.2	XP_011539737.1
XM_011541437.1	XP_011539739.1
NM_001014980.2	NP_001014980.1
NM_058167.2	NP_477515.2
XM_005244718.3	XP_005244775.1
XM_005244719.4	XP_005244776.1
XM_006710333.3	XP_006710396.1
XM_011540614.2	XP_011538916.1
NM_194315.1	NP_919296.1
XM_011540613.2	XP_011538915.1
XM_017000239.1	XP_016855728.1
NM_194457.1	NP_919439.1
NM_194458.1	NP_919440.1
XM_017000238.1	XP_016855727.1
XM_011540616.2	XP_011538918.1
XM_011540617.2	XP_011538919.1
XM_011541901.2	XP_011540203.1
XM_017002039.1	XP_016857528.1
XM_017002040.1	XP_016857529.1
XM_017002041.1	XP_016857530.1
XM_017002043.1	XP_016857532.1
XM_017002042.1	XP_016857531.1
XM_017002044.1	XP_016857533.1
XM_011541902.2	XP_011540204.1
NM_001130413.3	NP_001123885.2
XM_011541905.2	XP_011540207.1
XM_017002037.1	XP_016857526.1
XM_011541899.2	XP_011540201.1
XM_011541906.2	XP_011540208.1
XM_017002038.1	XP_016857527.1
XM_011541908.2	XP_011540210.1
XM_011541920.2	XP_011540222.1
XM_011541925.2	XP_011540227.1
XM_011541932.2	XP_011540234.1
XM_011541933.2	XP_011540235.1
XM_011541929.2	XP_011540231.1
XM_005244715.2	XP_005244772.1
NM_030649.2	NP_085152.2
XM_011540608.2	XP_011538910.1
XM_011540609.2	XP_011538911.1
XM_011540606.2	XP_011538908.1
XM_011540607.1	XP_011538909.1
